sentence_id,text,consensus_label
Z001438,"若上古聖賢,則只是專以理言之否?""曰:""有是理,必有是氣,不可分説都是理、都是氣,那箇不是理,那箇不是氣。",C
Z001440,"此身在天地間,便是理與氣凝聚底。",C
Z001472,"""曰:""既有此理,便有此氣。",C
Z001475,"這事又㣲妙難説,要人自㸔得世間道理,有正當易見者,又有變化無常,不可窺測者。",N
Z001477,"又如云""文王陟降,在帝左右如今若説文王真箇在上帝之左右,真箇有箇上帝,如世間所塑之像,固不可,然聖人如此説,便是有此理。",C
Z001488,"他止是要代武王之死爾用之問先生答廖子晦書云:""氣之已散者,既化而無有矣,而根於理而日生者,則固浩然而無窮也。",A
Z001490,"問""根於理而日生者,浩然而無窮此是説天地氣化之氣否?""曰:""此氣只一般周禮》所謂天神、地示、人鬼,雖有三様,其實只一般。",C
Z001496,"然聖人制禮,惟繼其國者,則合祭之,非在其國者,便不當祭,便是理合如此道理合如此,便有此氣。",C
Z001498,"又如晋侯夢黄熊入寢門,以為鯀之神,亦是此類,不成説有子孫底,方有感格之理,便使其無子孫,其氣亦未嘗亡也。",C
Z001501,"所以説洋洋乎如在其上,如在其左右,虚空偪塞,無非此理。",C
Z001519,"問:""祭祀之理,還是有其誠則有其神,無其誠則無其神否?""曰:""鬼神之理,即是此心之理。",C
Z001537,"若相奪予享事,如伊川所謂,别是一理否?""曰:""他夢如此,不知是如何。",C
Z001551,"司命、中霤、竈與門行,人之所用者,有動有靜,有作有止,故亦有隂陽鬼神之理。",C
Z001559,"今人祭祀,從何而求之?""曰:""如子祭祖先,以氣類而求,以我之氣感召,便是祖先之氣,故(想之如在,此感通之理也。",C
Z001567,"今塑像髙髙在上,而設器皿於地,甚無義理。",N
Z001633,"問:""道理有正則有邪,有是則有非,鬼神之事亦然。",N
Z001638,"'此其理行正當,事人自不作怪棄常。",A
Z001658,"先生答黄商伯書,有云:""論萬物之一原,則理同而氣異;觀萬物之異體,則氣猶相近,而理絶不同。",C
Z001660,"下句是就萬物已得之後説,以其雖有清濁之不同,而同此二五之氣,故氣相近;以其昏明開塞之甚逺,故理絶不同中庸》是論其方付之初集注》是看其已得之後曰:""氣相近。",C
Z001661,"如知寒煖識饑飽,好生惡死,趨利避害,人與物都一般,理不同。",C
Z001668,"問:""人物皆禀天地之理以為性,皆受天地之氣以為形。",C
Z001670,"若在物言之,不知是所禀之理,便有不全耶?亦是縁氣禀之昏蔽,故如此耶?""曰:""惟其所受之氣,只有許多,故其理亦只有許多如犬馬。",C
Z001672,"""又問:""物物具一太極,則是理無不全也。",C
Z001674,"以理言之,則無不全,以氣言之,則不能無偏。",C
Z001678,然在人則蔽塞有可通之理。,C
Z001692,"人物之生,天賦之以此理未嘗不同,但人物之禀受,自有異耳。",C
Z001694,"至於一桶一缸,各自隨器量不同,故理亦隨以異。",C
Z001695,"問人則能推,物則不能推曰:""謂物無此理不得。",C
Z001702,"同者其理也,異者,其氣也。",C
Z001703,"必得是理而後,有以為人物之性,則其所謂同然者,固不得而異也;必得是氣而後,有以為人物之形,則所謂異者,亦不得而同也。",C
Z001704,"是以先生於《大學或問》,因謂以其理而言之,則萬物一原,固無一物貴賤之殊,以其氣而言之,則得其正者,通者為人,得其偏且塞者為物。",C
Z001706,"然其氣雖有不齊,而得之以有生者,在人物莫不皆有理。",C
Z001707,"雖有所謂同,而得之以為性者,人則獨異於物,故為知覺為運動者,此氣也;為仁義為禮智者,此理也。",C
Z001708,"知覺運動,人能之,物亦能之,而仁義禮智,則物固有之,而豈能全之乎?今告子乃欲指其氣而遺其理,梏於其同者,而不知其所謂異者,此所以見闢於《孟子》,而先生於《集註》則亦以為以氣言之,則知覺運動,人物若不異,以理言之,則仁義禮智之禀,非物之所能全也。",C
Z001709,"於此則言氣同而理異者,所以見人之為貴,非物之所能並;於彼則言理同而氣異者,所以見太極之無虧欠,而非有我之所得為也。",C
Z001718,"問:""虎狼之父子,蜂蟻之君臣,豺獺之報本,睢鳩之有别,物雖得其一偏,然徹頭徹尾,得義理之正。",C
Z001719,"人合下具此天命之全體,乃為物欲氣禀所昏,反不能如物之能通其一處而全盡,何也?""曰:""物只有這一處,通便却專,人卻事事理㑹得些,便却泛泛,所以易昏。",N
Z001736,"性即是理,有性即有氣。",C
Z001737,"是他禀得許多氣,故亦只有許多理。",C
Z001743,"問:""枯槁之物,亦有性是如何?""曰:""是他合下有此理,故云天下無性外之物。",C
Z001744,"'因行街云:""階磚便有磚之理,因坐云""竹椅便有竹椅之理。",C
Z001745,"枯槁之物,謂之無生意則可,謂之無生理則不可。",C
Z001747,"然燒甚麽木,則是甚麽氣?亦各不同,這是理元如此。",C
Z001748,"問:""枯槁有理否?""曰:""才有物便有理。",C
Z001749,"天不曾生箇筆,人把兔毫來做筆,才有筆便有理。",C
Z001751,"問:""理是人物同得於天者,如物之無情者,亦有理否?""曰:""固是有理。",C
Z001786,然這箇亦只是理如此。,C
Z001787,"天下莫尊於理,故以帝名之。",C
Z001793,"語厚之昨晩說""造化為性,不是造化,已是形而下,所以造化之理,是形而上。",C
Z001794,"蜚卿問""純亦不已,是理是氣?""曰:""是理。",C
Z001795,"天命之謂性,亦是理。",C
Z001797,"""某問""天命之謂性,只是主理言,纔説命,則氣亦在其間矣。",C
Z001802,""")程子""性即理也此説最好。",C
Z001803,"今且以理言之,畢竟却無形影,只是這一箇道理在人。",C
Z001805,然四者有何形狀?亦只是有如此道理。,C
Z001806,"有如此道理,便做得許多事出來,所以能惻隠、羞惡、辭遜、是非也。",A
Z001811,"盖性中所有道理,只是仁義禮智,便是實理。",C
Z001818,"""又曰:""只管説出語言,理㑹得,只見事多,却不如都不理㑹得底。",N
Z001819,"""又曰:""然亦不可含糊,亦要理㑹得箇名義著落。",N
Z001828,"若無此氣,則此理如何頓放?(《必大録》此云:""有氣/質之性,無天命之)(性亦做人不得;有天命之性/無氣質之性,亦做人不得"")天命之性,本未嘗偏,但氣質所禀,却有偏處。",B
Z001829,"氣有昏明厚薄之不同,然仁義禮智,亦無闕一之理。",C
Z001841,"既不論性,便却將此理來昏了。",C
Z001847,"人之所以生,理與氣合而已。",C
Z001848,"天理固浩浩不窮,然非是氣,則雖有是理而無所湊泊,故必二氣交感,凝結生聚,然後是理有所附著。",B
Z001868,"性只是理,然無那天氣地質,則此理沒安頓處。",B
Z001869,"但得氣之清明,則不蔽錮,此理順發出來。",A
Z001870,"蔽錮少者,發出來,天理勝,蔽錮多者,則私欲勝,便見得本原之性,無有不善。",A
Z001879,"大抵此理,有未分曉處。",C
Z001883,"如果能曉得此理,如何不與大家知?",C
Z001884,"性只是理,氣質之性,亦只是這裡出。",C
Z001887,"論天地之性,則專指理言;論氣質之性,則以理與氣雜而言之。",C
Z001890,"至論其徧體於物,無處不在,則又不論氣之精粗,莫不有是理人。",C
Z001901,"當然之理,無有不善者,故孟子之言性,指性之本而言。",C
Z001904,"天地間只是一箇道理,性便是理。",C
Z001911,"問天理變易無窮,由一隂一陽,生生不窮。",A
Z001912,"繼之者善,全是天理,安得不善?孟子言性之本體以為善者是也。",C
Z001917,"""曰:""既謂之大本,只是理善而已。",C
Z001919,"問:""理無不善,則氣胡為有清濁之殊?""曰:""才説著氣,便自有寒有熱,有香有臭。",C
Z001923,"氣升降無時止息,理只附氣。",B
Z001969,"若不論那氣,這道理便不周匝,所以不備。",C
Z001970,"若只論氣禀,這箇善、這箇惡,却不論那一原處,只是這箇道理,又却不明。",C
Z001972,"謙之問:""天地之氣,當其昏明駁雜之時,則其理亦隨而昏明駁雜否?""曰:""理却只恁地,只是氣自如此。",B
Z001973,"""又問:""若氣如此,理不如此,則是理與氣相離矣。",C
Z001977,"有那村知縣,硬自捉縛,須要他納縁被他近了,更自呌,上面不應,便見得那氣粗而理㣲。",C
Z001984,"將性對氣字看,性即是此理。",C
Z001985,"理無不善者,因堕在形氣中,故有不同。",C
Z001987,"但氣禀偏,則理亦欠闕了。",C
Z001991,"""又問""性命於氣,是性命都由氣,則性不能全其本然,命不能順其自然;性命於徳,是性命都由徳,則性能全天性,命能順天理否?""曰:""固是。",C
Z001996,"性便是理,氣便是氣,是未分别説,其實理無氣,亦無所附。",B
Z001997,"""又問""人生氣禀,理有善惡云云,善固性也,然惡亦不可不謂之性也。",C
Z002008,"""曰:""它這是合理氣一滚説到孟子説性,便是從中間斡出好底説,故謂。",N
Z002017,"""又問""此理,天命也。",C
Z002018,"它這處方提起以此理説,則是純指上面天理而言,不雜氣説。",C
Z002020,"""又曰:""理離氣不得,而今講學用心著力,却是用這氣去尋箇道理。",B
Z002031,"有是理而後有是氣,有是氣則必有是理。",C
Z002034,"物亦有是理,又如寳珠落在至汙濁處,然其所禀,亦間有些明處,就上面便自不昧。",C
Z002036,"理在氣中,如一箇明珠在水裡。",C
Z002037,"理在清底氣中,如珠在那清底水裡面,透底都明;理在濁底氣中,如珠在那濁底水裡面,外面更不見光明處。",C
Z002051,"今人有聰明事事曉者,其氣清矣,而所為未必皆中於理,則是其氣不醇也;有謹厚忠信者,其氣醇矣,而所知未必皆達於理,則是其氣不清也。",C
Z002061,"若功夫未到,則氣質之性,不得不重;若功夫至,則氣質豈得不聽命於義理也?須著如此説方盡。",C
Z002085,"""曰:""如才不足人明得理,可為否?""曰:""若明得盡,豈不可為?所謂克念作聖是也。",C
Z002089,"今以五行枝榦,推筭人命,與夫地理家推擇山林向背,皆是此理。",C
Z002103,"問氣禀云云曰:""天理明則彼如何著得?""",C
Z002105,"'此是兼氣質與所禀之理而言否?""曰:""然。",C
Z002106,"問指屋柱云:""此理也。",C
Z002118,"安卿問:""命字,有專以理言者,有專以氣言者,曰:""也都相離不得。",C
Z002120,"問:""先生説命有兩種,一種是貧富、貴賤、死生、壽夭,一種是清濁偏正、智愚、賢不肖,一種屬氣,一種屬理。",C
Z002124,性則命之理而已。,C
Z002125,"問:""性分、命分,何以别?""曰:""性分是以理言之,命分是兼氣言之。",C
Z002126,"命分有多寡厚薄之不同,若性分則又都一般,此理聖愚賢否皆同。",C
Z002127,"命之一字,如天命謂性之命,是言所禀之理也性也;有命焉之命,是言所禀之分,有多寡厚薄之不同也。",C
Z002129,"天命謂性之命,是純乎理言之。",C
Z002131,"但《中庸》此句,乃是以理言之孟子謂'性也有命焉此性是兼氣禀食色言之,命也有性焉此命是帶氣言之。",C
Z002134,"禀得精英之氣,便為聖為賢,便是得理之全,得理之正。",C
Z002137,"""又曰:""天之所命,固是均一,到氣禀處,便有不齊,看其禀得來如何,禀得厚道理也。",C
Z002140,"(别本云:""道/理只一般)氣禀譬如俸給,貴如官髙者,賤如官卑者,富如俸厚者,貧如俸薄者,夀如三兩年一任又再任者,夭者。",C
Z002161,"""因問:""如今數家之學,如康節之説,謂皆一定而不可易,如何?""曰:""也只是隂陽盛衰消長之理,大數可見。",C
Z002165,"夫此命是天理本然之命否?""曰:""此只是氣禀之命。",C
Z002173,"知天命,謂知其理之所自來。",C
Z002199,"""底事多,其理只一般。",C
Z002200,"敬子問自然之數曰:""有人禀得氣厚者則福厚,氣薄者則福薄,禀得氣之華美者則富盛,衰颯者則卑賤,氣長者則壽,氣短者則夭折,此必然之理。",C
Z002201,"""問:""神仙之説,有之乎?""曰:""誰人説無?誠有此理,只是他那工夫,大段難做。",C
Z002223,"問:""天與命、性與理四者之别,天則就其自然者言之,命則就其流行而賦於物者言之;性則就其全體而萬物所得以為生者言之,理則就其事事物物各有其則者言之。",C
Z002224,"到得合而言之,則天即理也,命即性也,性即埋也。",C
Z002228,"理者,天之體,命者理之用。",C
Z002236,"在心唤做性,在事唤做理。",C
Z002238,性只是此理。,C
Z002241,"性則天生,成許多道理。",A
Z002242,"性是許多理,散在處為性。",C
Z002243,"問:""性既無形,復言以理,理又不可見。",C
Z002244,"""曰:""父子有父子之理,君臣有君臣之理。",C
Z002245,"性是實理,仁義禮智皆具。",C
Z002246,"問:""性固是理,然性之徳,還是就人生禀得言之否?""曰:""繼之者善,成之者性。",C
Z002247,"這箇理在天地間時只是善,無有不善者。",C
Z002249,"要之這理在天則曰命,在人則曰性。",C
Z002251,"其惻隠便是仁之善,羞惡便是義之善,到動極復靜處,依舊只是理。",C
Z002264,"看來心有動靜,其體則謂之易,其理則謂之道,其用則謂之神。",C
Z002269,'這説心是合理説。,N
Z002270,"如説顔子其心三月不違仁是心為主而不違乎理,就地頭看始得。",C
Z002273,"盖太極是理,形而上者;隂陽是氣,形而下者。",C
Z002281,"心之理是太極,心之動靜是隂陽。",C
Z002283,"問靈處是心,抑是性?""曰:""靈處只是心,不是性,性只是理。",C
Z002284,"問:""知覺是心之靈,固如此,抑氣之為邪?""曰:""不專是氣,是先有知覺之理。",A
Z002288,"所知覺者是理,理不離知覺,知覺不離理。",C
Z002289,"問:""心是知覺,性是理,心與理,如何得貫通為一?""曰:""不須去著貫通。",C
Z002290,"本來貫通,如何本來貫通?""曰:""理無心則無著處。",B
Z002291,"所覺者,心之理也;能覺者,氣之靈也。",C
Z002300,"心與理一,不是理在前面為一物,理便在心之中,心包蓄不住,隨事而發。",C
Z002304,"問:""心之為物,衆理具足,所發之善,固出於心,至所發不善,皆氣禀物欲之私,亦出於心否?""曰:""固非心之本體,然亦是出於心也。",C
Z002334,"""問:""如此則心之理,乃是形而上否?""曰:""心比性則㣲有迹,比氣則自然又靈。",C
Z002361,"性雖虚,都是實理。",C
Z002362,"心雖是一物,却虚,故能包含萬理。",C
Z002364,"""(學䝉○《方子録》云:""性/本是無,却是實理心)(似乎有影象/,然其體却虚)",C
Z002366,"性便是心之所有之理,心便是理之所㑹之地。",C
Z002367,"性是理,心是包含該載敷施發用底。",C
Z002370,"盖心之所以具是理者,以有性故也。",C
Z002376,"心性理,拈著一箇,則都貫穿,惟觀其所指處,輕重如何。",C
Z002378,"存雖指理言,然心自在其中,操則存此存雖指心言,然理自在其中。",C
Z002384,"嘗曰:""性者,心之理;情者,性之動,心者,性情之主。",C
Z002391,"四端,情也,性則理也,發者,情也,其本則性也,如見影知形之意。",C
Z002399,"四者之萌,皆出於心,而其所以然者,則是此性之理所在也。",C
Z002413,"或問靜是性,動是情曰:""大抵都主於心,性字從心從生,情字從心從青,性是有此理。",C
Z002438,"""盖性即心之理,情即性之用。",C
Z002448,程子云:'性即理也此言極無病。,C
Z002452,"如今人全不曾理㑹,才見一庸人妄説,便從他去。",N
Z002461,"性是理之總名,仁義、禮智,皆性中一理之名。",C
Z002470,"因一事研磨一理,乆乆自然光明,如一鏡然。",C
Z002476,"有一人入潭州城裡説,人便靡然從之,此是何道理?學問只理㑹箇是與不是,不要添許多無益説話。",N
Z002477,"今人為學,多是為名,又去安排討名,全不顧義理説苑》載證父者,以為直及加刑,又請代受以。",N
Z002493,"伊川""性即理也,横渠""心統性情""二句,顛撲不破。",C
Z002506,"性以理言,情乃發用處。",C
Z002514,"心之全體,湛然虚明,萬理具足,無一毫私欲之間。",C
Z002519,"""曰:""虚明不昧,便是心,此理具足於中,無少欠闕,便是性;感物而動,便是情。",C
Z002524,"問心、性、情之辨曰:""程子云:'心譬如榖種,其中具生之理是性;陽氣發生處是情。",C
Z002530,"性主具有許多道理,昭昭然者,屬性未發理具已發,理應則屬心,動發則情,所以存其心則養其性,心該備通貫主宰運用。",C
Z002539,"心意猶有痕跡,如性則全無兆朕,只是許多道理在這理。",C
Z002548,"未動而能動者,理也;未動而欲動者,意也。",A
Z002549,"性者,即天理也。",C
Z002550,"萬物禀而受之,無一理之不具。",C
Z002562,"心兼體用而言,性是心之理,情是心之用。",C
Z002569,"心譬水也,性,水之理也。",C
Z002577,"但看明道云:'其體則謂之易,其理則謂之道,其用則謂之神易,心也,道,性也,神,情也。",C
Z002579,"性者,心之理,情者,心之動。",C
Z002585,"形而上者,全是天理,形而下者,只是那渣滓,至於形,又是渣滓至濁者也。",C
Z002607,"道是統名,理是細目。",C
Z002612,"理是有條瓣,逐一路子,以各有條謂之理,人所共由謂之道。",C
Z002617,"問萬物粲然,還同不同,曰:""理只是這一箇道,理則同,其分不同。",C
Z002618,"君臣有君臣之理,父子有父子之理。",C
Z002620,"問:""既是一理,又謂五常,何也?""曰:""謂之一理亦可,五理亦可。",C
Z002623,"只是這箇理,分做四段,又分做八段,又細碎分將去。",C
Z002627,"理只是一箇理理,舉著全無欠闕。",C
Z002629,"只為只是這箇道理,自然血脉貫通。",C
Z002637,有心便存得許多理。,C
Z002638,"季通云:""理有流行,有對待,先有流行,後有對待。",A
Z002641,"先生與人書中曰:""至㣲之理、至著之事,一以貫之。",C
Z002642,理無事則無所依附。,B
Z002653,"存之於中為理,得之於心為徳,發見於行事為百行。",C
Z002668,"體是這箇道理,用是他用處。",C
Z002669,"如耳聽目視,自然如此,是理也。",C
Z002681,"問:""去嵗聞先生曰:""只是一箇道理,其分不同。",C
Z002682,"所謂分者,莫只是理一,而其用不同。",C
Z002685,"""問:""體用皆異?""曰:""如這片板,只是一箇道理,這一路子恁地去,那一路子恁地去,如一所屋,只是一箇道理,有㕔有堂,如草木,只是一箇道理,有桃有李,如這衆人,只是一箇道理,有張三有李四,李四不可為張三,張三不可為李四。",C
Z002686,如隂陽西銘》言理一分殊亦是如此。,C
Z002687,"""又曰:""分得愈見不同,愈見得理大。",C
Z002688,誠者實有此理。,C
Z002690,又云誠是理。,C
Z002691,"""(一作'只是/理○去偽)",U
Z002696,"性是理底名,誠是好處底名。",C
Z002716,"誠者,實有之理,自然如此。",C
Z002722,"或問:""誠是體,仁是用否?""曰:""理一也。",C
Z002727,"或問:""誠是渾然不動,仁是此理流出否?""曰:""自性言之,仁亦未是流出。",C
Z002728,"但其生動之理,包得四者。",A
Z002731,"誠是實有此理,中是狀物之體段,浩然之氣,只是為氣而言。",C
Z002732,"問:""仁義禮智誠中庸》,不知如何看?""曰:""仁義禮智,乃未發之性,所謂誠中庸》,皆已發之理。",C
Z002735,"大而天地萬物,小而起居食息,皆太極隂陽之理也。",C
Z002743,"大抵天地間只一理,隨其到處,分許多名字出來。",C
Z002744,"四者於五行各有配,惟信配土,以見仁義禮智實有此理,不是虚説。",C
Z002753,"嘗言仁義禮智,而以手指畫扇中心曰:""只是一箇道理,分為兩箇。",C
Z002789,"""曰:""先有是生理,三者,由此推之。",C
Z002806,"性無形影,可以摸索,只是有這理耳。",C
Z002825,"問:""仁、義、禮智四者皆一理。",C
Z002828,"然統言之,只是發明智字,故知理只是一理,聖人特於盛處發明之爾。",C
Z002829,"""曰:""理固是一貫,謂之一理,則又不必疑其多。",C
Z002830,"自一理散為萬事,則燦然有條而不可亂。",A
Z002831,"逐事自有一理,逐物自有一名,各有攸當。",C
