sentence_id,text,label_openai,basis_openai,label_gemini,basis_gemini
Z000402,"""曰:""發育是理,發育之否?""曰:""有此理,便有此氣,流行發育,理無形體。",B,"理無形體, 有此理便有氣流行發育, 理는 직접 작용 안함",B,"理는 무형체이며, 氣가 유행 발육함"
Z000404,"""曰:""理無極,氣有極否?""曰:""論其極,將那處做極?""",C,"理無極, 氣有極否? 능동수동 언급 없음",N,理가 형이상학적 원리로서의 의미가 아님
Z000406,太極只是一箇理字。,C,"太極只是一箇理字, 능동수동 불명확",C,太極이 理임을 정의하나 작용 여부 없음
Z000407,有是理後生是氣。,C,"有是理後生是氣, 선후관계만 서술됨",C,理가 氣보다 먼저 존재함을 언급
Z000409,"天下未有無理之氣,亦未有無氣之理。",C,"未有無理之氣亦未有無氣之理, 존재관계만 서술됨",C,理와 氣의 상호 의존 관계를 언급
Z000410,"(氣以成形,而理/亦賦焉。",U,"문장 불완전, 의미 파악 불가",C,理가 부여됨을 언급하나 작용 여부 없음
Z000412,"先有箇天理了,却有氣,氣積為質而性具焉。",C,"先有天理却有氣, 선후관계만 서술됨",C,理의 선재와 氣의 작용을 언급하나 理의 작용 없음
Z000413,"問理與氣曰:""伊川說得好。",N,'理'가 고유명사 '伊川'와 연결됨,U,문장이 짧고 의미 파악 불가
Z000414,"""曰:""理一分殊,合天地萬物而言,只是一箇理,及在人,則又各自有一箇理。",C,"'理一分殊', 능동·수동 언급 없음",C,"理一分殊, 理의 존재 방식 설명"
Z000415,"問理與氣曰:""有是理,便有是氣。",C,"'有是理便有是氣', 작용 여부 미언급",C,理와 氣의 존재 관계 설명
Z000416,"但理是本,而今且從理上說氣。",C,"'理是本', 능동·수동 불명확",C,理가 본원임을 설명하나 작용 여부 불분명
Z000427,"""又問""元亨利貞,是備箇動静隂陽之理,而《易》只謂乾有之。",C,"'動静隂陽之理', 능동·수동 불명확",C,理가 동정음양을 갖추고 있음을 설명
Z000431,"""又問:""有是理而後有是氣,未有人時,此理何在?""曰:""也只在這裏。",C,"'有是理而後有是氣', 작용 여부 미언급",C,理의 존재 위치를 설명
Z000434,"問先有理,抑先有氣?""曰:""理未嘗離乎氣。",C,"'理未嘗離乎氣', 작용 여부 불명확",C,理와 氣의 관계를 설명
Z000435,"然理形而上者,氣形而下者,自形而上下言,豈無先後?理無形氣,便粗有渣滓。",C,"'理無形氣', 능동·수동 명확하지 않음",C,理와 氣의 선후 관계를 설명
Z000436,"或問:""必有是理,然後有是氣,如何?""曰:""此本無先後之可言,然必欲推其所從來,則須說先有是理。",C,"'必欲推其所從來,則須說先有是理', 작용 불명확",C,理와 氣의 선후 관계를 설명
Z000437,"然理又非别為一物,即存乎是氣之中。",C,"'理存乎是氣之中', 작용 여부 미언급",C,理가 氣 안에 존재함을 설명
Z000438,無是氣則是理亦無掛搭處。,B,"理無掛搭處, 氣是前提 조건 명시",B,理亦無掛搭處: 理가 의지할 곳이 없음
Z000439,"氣則為金木水火,理則為仁義禮智。",C,"理와 氣의 역할 구분만, 작용 여부 언급 없음",C,"理則為仁義禮智: 理의 속성을 나열, 작용 여부 불분명"
Z000440,"或問理在先氣在後曰:""理與氣,本無先後之可言,但推上去時,却如理在先氣在後相似。",C,"理와 氣의 선후 관계 논의, 작용 여부 불명확",C,"理在先氣在後: 理와 氣의 선후 관계 언급, 작용 여부 불분명"
Z000441,"""又問:""理在氣中發見處如何?""曰:""如隂陽五行,錯綜不失條緒,便是理。",C,"理의 현상적 모습 서술, 능동성 언급 없음",C,"便是理: 理의 존재를 설명, 작용 여부 불분명"
Z000442,"若氣不結聚時,理亦無所附著。",B,"理無所附著, 氣가 선행 조건임 명시",B,理亦無所附著: 理가 부착할 곳이 없음
Z000445,"或問先有理後有氣之說曰:""不消如此說,而今知得他合下是先有理後有氣邪,後有理先有氣邪,皆不可得而推䆒。",C,"理와 氣의 선후 논쟁, 작용 여부 언급 없음",C,"先有理後有氣: 理와 氣의 선후 관계 언급, 작용 여부 불분명"
Z000446,"然以意度之,則疑此氣是依傍這理行,及此氣之聚,則理亦在焉。",B,"氣依傍這理行, 理는 수동적 존재임 명시",B,氣是依傍這理行: 氣가 理에 의지하여 움직임
Z000447,"盖氣則能凝結造作,理却無情意,無計度、無造作,只此氣凝聚處,理便在其中。",B,"理無情意無造作, 氣가 능동적임 명시",B,"理却無情意,無計度、無造作: 理가 정이나 조작이 없음"
Z000449,"若理則只是箇浄潔空濶底世界,無形迹,他却不會造作,氣則能醖釀凝聚生物也。",B,"理無造作, 氣가 생물 생성 작용함 명시",B,他却不會造作: 理가 조작하지 못함
Z000450,"但有此氣,則理便在其中。",B,"理는 氣에 의존, 氣가 있어야 理 존재함 명시",C,"理便在其中: 理가 그 안에 존재함, 작용 여부 불분명"
Z000451,"問有是理,便有是氣,似不可分先後。",C,"先有是理後有是氣, 작용 언급 없음",C,理와 氣의 선후 관계를 논하나 작용 여부 없음
Z000452,"""曰:""要之也先有理,只不可說是。",C,"先有理만 언급, 작용 여부 불명",C,理의 선후를 논하나 작용 여부 없음
Z000453,"今日有是理,明日却有是氣也,須有先後。",C,"須有先後, 작용 직접 언급 없음",C,理와 氣의 선후를 논하나 작용 여부 없음
Z000454,"且如萬一山河,天地都陷了,畢竟理却只在這裏。",C,"理只在此, 작용 여부 불명",C,理의 존재를 논하나 작용 여부 없음
Z000455,"徐問:""天地未判時,下面許多,都已有否?""曰:""只是都有此理。",C,"都有此理, 작용 관련 서술 없음",C,理의 존재를 논하나 작용 여부 없음
Z000460,"問:""天地之心,天地之理。",U,"문장 불완전, 의미 파악 불가",U,문장이 너무 짧아 의미 파악 불가
Z000461,"理是道理,心是主宰底意否?""曰:""心固是主宰底意,然所謂主宰者,即是理也,不是心外别有箇理,理外别有箇心。",C,"理와 心 동일시, 작용 명확하지 않음",A,"主宰者,即是理也: 理가 주재하는 주체로 서술됨"
Z000474,"且如四時行、百物生,天地何所容心?至於聖人,則順理而已,復何為哉?所以明道云:'天地之常,以其心普萬物而無心;聖人之常,以其情順萬事而無情說得最好。",C,"順理而已, 理 작용 직접 서술 아님",A,順理而已: 理를 따르는 행위의 대상으로 서술됨
Z000480,"凡此等類,是蒼蒼在上者,真有主宰如是邪?抑天無心,只是推原其理如此。",C,"理推原, 작용 직접 서술 아님",C,理의 존재와 관계를 논하나 작용 여부 없음
Z000481,"""曰:""此三段,只一意,這箇也只是理如此。",C,"理如此, 작용 여부 불명",C,理의 존재를 논하나 작용 여부 없음
Z000484,"邵堯夫《經世吟》有云:""羲·軒·堯·舜·湯·武·桓·文,皇王·帝霸,父子·君臣四者之道理,陷於秦,降及兩漢,又歴三分,東西俶擾,南北紛紜,五胡十姓,天紀幾棼,非唐不濟,非宋不存,千世萬世　有人。",N,文맥상 '道理'의 일상적 용법임,N,道理가 형이상학적 원리가 아님
Z000487,帝是理為主。,A,'理為主'로 理가 주체로 작용함,C,理가 주가 된다는 의미만 있음
Z000490,有説蒼蒼者也有)(説主宰者也/有單訓理時),U,문장 불완전하여 의미 파악 불가,U,문장이 너무 짧고 불완전함
Z000527,"問:""康節論六合之外,恐無外否?""曰:""理無内外。",B,'理無内外'로 理가 작용하지 않음 명시,C,理의 내외 유무만 언급
Z000537,"可幾問:""大鈞播物,還是一去便休也,還有去而復來之理?""曰:""一去便休耳。",U,문장 불완전하여 의미 파악 불가,C,理의 존재 여부만 언급
Z000559,"(《揚録》云:""碩果/不食之理),如大睡一覺,及醒時,却有精神。",U,문장 불완전하여 의미 파악 불가,C,理가 비유적으로 사용됨
Z000562,"隂陽五行之理,須常常看得,在目前,則自然牢固矣。",C,理 존재 언급하나 작용 여부 불명,C,理를 인식해야 함을 강조
Z000570,"""又曰:'同者理也,不同者氣也。",C,'理'와 '氣' 구분하나 작용 언급 없음,C,理와 기의 관계를 정의
Z000571,"'又曰:'他所以道五行之生,各一其性節復問:""這箇莫是木自是木,火自是火,而其理則一。",C,理의 본질 언급하나 능동성 불명,C,理가 하나임을 설명
Z000575,"所以為金木、水火土者是神,在人則為理,所以為仁義禮智信者是也。",C,理가 무엇인지 설명하나 작용 불명,C,理의 본질을 설명
Z000576,"金、木、水、火、土,雖曰五行,各一其性,然一物又各具五行之理,不可不知。",C,理가 존재하나 작용 여부 언급 없음,C,理가 '갖추어져 있다'고 서술되나 능동/수동 불분명
Z000589,"論隂陽五行曰:""康節説得法宻,横渠説得理透。",C,理透 언급하나 능동성 불명확,N,理가 '이치'라는 일반적 의미로 사용됨
Z000590,"邵伯温載伊川言曰:'向惟見周茂叔語及此,然不及先生之有條理也。",N,條理는 일상적 용법임,N,"條理가 '조리, 체계'라는 일반적 의미로 사용됨"
Z000662,"(《義剛錄》/云前漢)(《厯志》説道理處少/不及《東漢志》較詳)淳問月令》䟽地冬上騰,夏下降是否?""曰:""未便理㑹到此,且看大綱,識得後,此處用度筭方知。",N,理㑹는 일상적 용법으로 보임,N,道理와 理會가 일반적 어휘로 사용됨
Z000789,"'如此則氣不和時,便無月,恐無此理。",C,無此理라 하여 수동 명시 없고 존재만 언급,C,理가 '이치'라는 의미로 사용되나 능동/수동 불분명
Z000790,"其云三五而盈,三五而闕彼必不曾以理推之。",C,以理推之는 理 작용 여부 불명확함,C,理로 '추론하다'는 의미이나 理의 작용 여부 불분명
Z000791,"若以理推之,則無有盈闕也。",C,"以理推之 표현, 능동성 명확하지 않음",C,理로 '추론하다'는 의미이나 理의 작용 여부 불분명
Z000812,㸔來理或有之。,C,"理有之는 존재만 언급, 작용 불명확",C,理가 '존재한다'고 서술되나 능동/수동 불분명
Z000870,"或問:""髙山無霜露,其理如何?""曰:""上面氣漸清風漸緊,雖微有露氣,都吹散了,所以不結。",N,理如何는 일상적 용법 질문임,C,理가 '이치'라는 의미로 사용되나 능동/수동 불분명
Z000892,"張子云:'其來也,幾㣲易簡;其䆒也廣大堅固即此理也。",C,"理는 본질 서술, 능동·수동 불명확",C,理가 '이것'을 지칭하나 능동/수동 불분명
Z000900,"伊川説:""世間人説雹是蜥蜴做,初恐無是理,看來亦有之,只謂之全是蜥蜴做,則不可耳。",N,"'無是理'는 형이상학적 원리 아님, 일상적 용법임",N,無是理는 '이치에 맞지 않다'는 관용적 용법
Z000952,"或問季通厯法未是,曰:""這都未理㑹得,而今須是也㑹布筭,也學得似他了,把去推測,方見得他是與不是。",N,"'理㑹得'는 이해·판단 의미, 형이상학적 理 아님",N,理會得은 '이해하다'는 관용적 용법
Z000953,"而今某自不曾理㑹得,如何説得他是與不是?這也是康節説,恁地若錯時,也是康節錯了。",N,"'理㑹得'는 이해·판단 의미, 형이상학적 理 아님",N,理會得은 '이해하다'는 관용적 용법
Z000996,"舊見明州人説,月加子午,則潮長,自有此理。",C,"'自有此理' 존재 서술, 능동·수동 불명확함",C,此理는 '이러한 이치'를 지칭하며 작용 여부 불분명
Z001034,"要作地理圖三箇様子,一寫州名,一寫縣名,一寫山川名。",N,"'地理'는 지리학 의미, 형이상학적 理 아님",N,地理圖는 '지리 지도'라는 어휘적 용법
Z001070,"因説鬼神曰:""鬼神事,自是第二着,那箇無形影,是難理會底,未消去理會。",N,"'理會'는 이해하다 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 관용적 용법
Z001073,此便是合理㑹底。,N,"'合理'는 합리적 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 관용적 용법
Z001074,"理㑹得将間,鬼神自有見處。",N,"'理㑹'는 이해하다 의미, 형이상학적 理 아님",N,理會得은 '이해하다'는 관용적 용법
Z001075,"若合理㑹底,不理㑹,只管去理㑹,沒𦂳要底,將間都沒理㑹了。",N,"'理㑹'는 이해하다 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 관용적 용법
Z001077,今且須去理㑹眼前事。,N,"'理㑹'는 이해하다 의미, 형이상학적 理 아님",N,理會는 '이해하다'는 관용적 용법
Z001078,"那箇鬼神事,無形無影,莫要枉費心力,理㑹得。",N,理㑹는 '이해하다'의 관용적 용법임,N,理會는 '이해하다'는 관용적 용법
Z001082,"如《易》便自難理㑹了,而今只據我恁地推測,不知是與不是,亦須逐一去㸔,然到極處,不過只是這箇。",N,理㑹는 '이해하다' 의미로 쓰임,N,理會는 '이해하다'는 관용적 용법
Z001083,"或問鬼神有無曰:""此豈卒乍可説便説?公亦豈能信得?及?湏於衆理㸔得漸明,則此惑自解。",N,理㸔得는 '이해하다' 의미임,N,衆理는 '여러 이치'라는 어휘적 용법
Z001085,"人且理㑹合當理㑹底事,其理㑹未得底,且推向一邊,待日用常行處,理㑹得透,則鬼神之理,將自見得,乃所以爲知也。",N,理㑹合·理㑹得는 '이해하다' 용법,N,理會는 '이해하다'는 관용적 용법
Z001089,"古來聖人所制祭祀,皆是他見得天地之理如此。",N,"天地之理는 형이상학적 의미 아님, '이치' 의미",C,天地之理는 '천지의 이치'로 존재를 나타냄
Z001107,"又有所謂""禱之而應,祈之而獲此亦所謂鬼神同一理也。",N,"鬼神同一理는 '이치' 의미, 능동성 언급 없음",C,同一理는 '같은 이치'로 존재를 나타냄
Z001108,"世間萬事皆此理,但精粗小大之不同爾。",N,"世間萬事皆此理는 '이치' 의미, 작용 언급 없음",C,此理는 '이 이치'로 존재를 나타냄
Z001110,"鬼神死生之理,定不如釋家所云世俗所見。",N,"鬼神死生之理는 '이치' 의미, 능동성 없음",C,死生之理는 '사생의 이치'로 존재를 나타냄
Z001111,"然又有其事昭昭,不可以理推者。",N,"不可以理推는 '이치' 의미, 작용 언급 없음",C,理推는 '이치로 미루어 헤아리다'로 존재를 나타냄
Z001112,"此等處,且莫要理㑹。",N,莫要理㑹는 '이해하지 말라' 의미임,N,理會는 '이해하다'는 관용적 용법
Z001114,"理有明未盡處,如何得意誠且如鬼神事,今是有是無。",C,"理有明未盡處, 능동·수동 불명확",C,"理의 명확성 여부만 언급, 작용 여부 없음"
Z001117,"""先生曰:""只是公不曾見,畢竟其理如何?南軒亦只是硬不信,有時戱説一二。",C,畢竟其理如何? 작용 여부 언급 없음,C,"理의 실재 여부만 언급, 작용 여부 없음"
Z001125,"此理又不知如何造化,若用此物爲雹,則造化亦小矣。",C,"理不知如何造化, 작용 여부 불명확",C,"理가 조화하는 방식 언급, 능동/수동 미결정"
Z001141,"'嘗以此問李先生曰:""此處不湏理㑹。",U,"문장 불완전, 의미 파악 어려움",N,理會는 '이해하다'는 관용적 용법
Z001145,"""鄭景望遂以薛氏所見爲實理,不知此特虹霓之類耳。",N,實理가 어휘적 용법으로 보임,N,實理는 '실제 이치'라는 어휘적 용법
Z001153,"問生死鬼神之理,(《明作録》云:""問鬼神生死,雖知得是一/理,然未見得端的。",C,"問鬼神生死理, 작용 여부 언급 없음",N,鬼神之理는 '귀신의 이치'라는 어휘적 용법
Z001154,"""曰:""精氣爲物(逰䰟)(爲變,便是生死底道理,未達。",C,"生死底道理, 작용 여부 불명확",N,"道理는 '도리, 이치'라는 어휘적 용법"
Z001156,"""又問:""精氣凝時,此理便附在氣上否?"")曰:""天道流行,發育萬物,有理而後有氣。",A,"天道流行,有理而後有氣, 理가 주체",A,理가 발육만물을 일으키는 주체로 서술됨
Z001157,"雖是一時都有,畢竟以理爲主,人得之以有生。",A,"以理爲主, 人得之以有生, 理가 주체",C,"理가 주가 됨을 언급, 작용 여부 미결정"
Z001171,"若理則只泊在氣上,初不是凝結,自爲一物。",B,"理只泊在氣上, 自爲一物 아님, 수동적",B,理가 기에 의존하여 박혀있음을 명시
Z001172,"但人分上所合當然者,便是理,不可以聚散言也。",C,"理는 합당함 서술, 작용 언급 없음",C,理가 '당연한 것'으로 서술되나 작용 여부 불분명
Z001173,"然人死雖終歸於散,然亦未便散盡,故祭祀有感格之理。",C,感格之理 존재하나 능동·수동 불명확,C,理가 '감격의 근거'로 서술되나 작용 여부 불분명
Z001174,"先祖世次遠者,氣之有無,不可知,然奉祭祀者,既是他子孫,畢竟只是一氣,所以有感通之理。",C,感通之理 존재하나 작용 여부 미진술,C,理가 '감통의 근거'로 서술되나 작용 여부 불분명
Z001177,"如此則天地間,常只是許多人,來來去去,更不由造化生生,必無是理。",B,"必無是理 명시, 理가 작용하지 않음 강조",N,理가 '이치'라는 관용적 용법으로 사용됨
Z001178,"至如伯有爲厲,伊川謂别是一般道理。",C,"別是一般道理 서술, 작용 언급 없음",N,道理가 '이치'라는 관용적 용법으로 사용됨
Z001183,"若論正理,則似樹上忽生出花葉,此便是造化之迹。",A,造化生生 예로 理가 작용하는 듯 표현,C,理가 '정리'로 서술되나 작용 여부 불분명
Z001185,"但人所常見,故不之怪,忽聞鬼嘯·鬼火之屬,則便以爲怪,不知此亦造化之迹,但不是正理,故爲怪異。",C,"造化之迹로 理 서술, 능동·수동 불명확",C,理가 '정리'로 서술되나 작용 여부 불분명
Z001187,"'皆是氣之雜揉乖戾所生,亦非理之所無也。",C,"理之所無 아니다, 작용 여부 직접 언급 없음",C,理가 '없는 바가 아님'으로 서술되나 작용 여부 불분명
Z001189,"如冬寒夏熱,此理之正也。",C,"理之正 서술, 능동·수동 판단 불가",C,理가 '정상'으로 서술되나 작용 여부 불분명
Z001190,"有時忽然夏寒冬熱,豈可謂無此理?但既非理之常,便謂之怪,孔子所以不語學者,亦未須理㑹也。",C,無此理否정하나 작용 여부 명확치 않음,N,理가 '이치'라는 관용적 용법으로 사용됨
Z001192,"○閎祖○賜)(録》云:""問:""民受天地之中以生,中是氣否?""曰:""中是理,理/便是仁義禮智,曷嘗有形象來?凡無形者,謂之理若)(氣則謂之生也。",C,"理是無形者,氣謂之生,능동수동 불명확",C,理는 仁義禮智이며 형상이 없다고 설명
Z001197,"知生則便知死,只是此理。",C,"理가 존재함만 언급, 작용 여부 불명확",C,理가 '이치'라는 의미로 사용됨
Z001201,"然人之祀祖先,却有所謂(來)(假來享,此理如何?""曰:""若是誠心感格,彼之魂氣,未盡/散,豈不來享?""又問:""如周以后稷爲始祖,以帝嚳爲所)(自出之帝子孫,相去未遠,尚可感格,至於成康以後/千有餘年,豈復有未散者而來享之乎?""曰:""夫聚散者)(氣也。",C,"理와 氣 구분, 작용 여부 명확하지 않음",C,理가 '이치'라는 의미로 사용됨
Z001202,"若理則只泊在氣上,初不是凝結爲一物,而爲/性也。",B,"理只泊在氣上, 理不凝結, 수동적 존재 명시",B,理는 氣 위에 머물러 있으며 응결되지 않음
Z001203,"但人分上所合當者,便是理,氣有聚散,理則不)(可以聚散言也。",B,"理不可以聚散言, 理不變, 수동적 존재 강조",C,理는 聚散으로 말할 수 없다고 설명
Z001204,"人死,氣亦未便散得盡,故祭祖先,有/感格之理。",C,"感格之理 존재 언급, 작용 주체 불명확",C,理가 '이치'라는 의미로 사용됨
Z001207,"若能極/其誠敬,則亦有感通之理。",C,"感通之理 존재 언급, 작용 여부 불명확",C,理가 '이치'라는 의미로 사용됨
Z001208,"釋氏謂人死爲鬼,鬼復爲)(人如此則天地間只是許多人,來來去去,更不由造/化,生生都廢,却,無是理也。",B,"無是理也, 理가 작용하지 않음 명시",C,理가 '이치'라는 의미로 사용됨
Z001209,"""曰:""然則羊叔子識環之事)(非邪曰:""史傳此等事極多,要之不足信,便有也,不是/正理。",N,"正理는 올바른 도리 의미, 형이상학적 理 아님",N,正理는 '올바른 이치'라는 관용적 용법
Z001210,"""又問:""世之見鬼神者甚多,不審有無如何?""曰世)(間人見者極多,豈可謂無?但非正理耳。",N,"非正理, 올바른 도리 의미, 형이상학적 理 아님",N,正理는 '올바른 이치'라는 관용적 용법
Z001211,"如伯有爲厲/,伊川謂别是一理。",C,'别是一理'로 능동·수동 불명확함,N,별시일이(别是一理)는 '다른 이치'라는 의미
Z001218,"'此豈爲造化之迹乎?""曰:""若論正理,則庭前樹木數)(日春風便開花,此豈非造化之迹?又如雷霆風雨,皆/是也。",C,'若論正理'만 있어 理 작용 언급 없음,N,정리(正理)는 '올바른 이치'라는 의미
Z001219,"但人常見,故不知怪,忽聞鬼呌,則以爲怪不知)(此亦是造化之迹,但非理之正耳。",C,'非理之正耳'로 理 작용 여부 불명확,N,비리(非理)는 '이치가 아님'이라는 의미
Z001221,"如冬寒夏熱,春榮秋枯,此理之正也忽)(冬月開一朶花,豈可謂無此理?但非正耳,故謂之怪/孔子所以不語學者,未須理㑹也。",C,'此理之正也'만 있어 능동·수동 판단 불가,N,비리(非理)는 '이치가 아님'이라는 의미
Z001225,以此見設醮無此理也。,C,"'無此理'로 존재 언급만, 작용 불명확",N,무차리(無此理)는 '이러한 이치가 없음'이라는 의미
Z001227,"世間自有個道理如此不/可謂無,特非造化之正耳。",C,'個道理如此不可謂無'로 존재만 서술,N,"도리(道理)는 '도리, 이치'라는 의미"
Z001239,"""盖他來則俱來,如祭祀報魂報魄,求之四方,上下便是皆有感格之理用之。",C,'感格之理用之'로 理 작용 직접 언급 없음,C,감격지리(感格之理)는 '감응하는 이치'로 능동/수동 미결정
Z001270,"'思量來,只是一箇道理。",C,'只是一箇道理'로 능동·수동 판단 불가,N,"도리(道理)는 '도리, 이치'라는 의미"
Z001360,"老氏惟見此理,一向自私其身。",C,'惟見此理'로 理 작용 여부 불명확,C,견차리(見此理)는 '이 이치를 보다'로 능동/수동 미결정
Z001372,"死而氣散,泯然無迹者,是其常道理。",C,'是其常道理'로 理 존재만 서술,N,"도리(道理)는 '도리, 이치'라는 의미"
Z001374,"伊川云左傳》伯有之為厲,又别是一理,言非死生之常理也。",C,別是一理이라 능동·수동 불명확함,N,‘一理’는 ‘하나의 이치’라는 어휘적 용법
Z001375,"伯有為厲之事,自是一理,謂非生死之常理。",C,自是一理이라 작용 여부 언급 없음,N,‘一理’는 ‘하나의 이치’라는 어휘적 용법
Z001376,"人死則氣散,理之常也。",C,理之常이라 작용 주체 명시 안 됨,C,‘理之常也’는 理의 속성을 말할 뿐 작용 여부 불분명
Z001378,"光祖問:""先生所答崧卿書云云,如伊川又云:'伯有為厲,别是一理。",C,别是一理라 능동·수동 판단 불가,N,‘一理’는 ‘하나의 이치’라는 어휘적 용법
Z001387,"問:""伯有之事,别是一理,如何?""曰:""是别是一理。",C,是别是一理라 능동·수동 불명확함,N,‘一理’는 ‘하나의 이치’라는 어휘적 용법
Z001421,"厚之問:""人死為禽獸,恐無此理。",C,恐無此理라 수동 명시 아님,N,‘此理’는 ‘이러한 이치’라는 어휘적 용법
Z001425,"或問鬼神曰:""且《類聚》前軰説鬼神處,㸔要湏自理㑹得。",C,自理㑹得라 理 작용 여부 불명확,N,‘理會’는 ‘이해하다’라는 관용적 용법
Z001429,"問:""性即是理,不可以聚散言。",C,性即是理라 작용 여부 언급 없음,C,‘性即是理’는 理의 본질을 말할 뿐 작용 여부 불분명
Z001432,"故聚則有,散則無,若理則亘古今常存,不復有聚散消長也。",B,"理亘古今常存, 聚散無影響 수동성 드러남",C,‘理則亘古今常存’은 理의 속성을 말할 뿐 작용 여부 불분명
Z001434,"然其氣雖已散,這箇天地隂陽之理,生生而不窮,祖考之精神魂魄雖已散,而子孫之精神魂魄,自有些小相屬,故祭祀之禮,盡其誠敬,便可以致得祖考之魂魄。",A,理生生而不窮이라 理가 작용함,A,"‘理, 生生而不窮’에서 理가 ‘생생’의 주체"
Z001435,"這箇自是難説,㸔既散後,一似都無了,能盡其誠敬,便有感格,亦縁是理常只在這裡也。",C,"理常只在這裡, 작용 여부 언급 없음",C,理가 '항상 여기에 있다'는 존재론적 진술
Z001436,"問:""鬼神以祭祀而言,天地、山川之屬,分明是一氣流通,而兼以理言之。",C,"理兼以言之, 작용 직접 서술 안 됨",C,理가 '말해진다'는 서술의 대상
Z001437,"人之先祖,則大概以理為主,而亦兼以氣魄言之。",C,"以理為主, 작용 여부 명시 안 됨",C,理가 '주가 된다'는 존재론적 진술
Z001438,"若上古聖賢,則只是專以理言之否?""曰:""有是理,必有是氣,不可分説都是理、都是氣,那箇不是理,那箇不是氣。",C,"有是理必有是氣, 작용 여부 불명확",C,理와 氣의 존재론적 관계 진술
Z001440,"此身在天地間,便是理與氣凝聚底。",C,"理與氣凝聚底, 작용 주체 언급 없음",C,理와 氣의 '응집' 관계 진술
